Country,Var_1,Var_2,Var_Label,Pearson,Pearson_Pval,Spearman,Spearman_Pval,n
Afghanistan,GDP_Total,Total_GHG,GDP_Total + Total_GHG,0.9285372578639254,4.657694482958567e-10,0.889849668181956,2.990584735716594e-08,22
Afghanistan,GDP_Total,Total_GHG_exc,GDP_Total + Total_GHG_exc,0.9290410065987009,4.348820216767176e-10,0.869406408415172,1.5026391996226974e-07,22
Afghanistan,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.9928344774476373,2.205287644911832e-27,0.9924343569203385,4.707380930784225e-27,30
Albania,GDP_Total,Percent_Poverty,GDP_Total + Percent_Poverty,-0.5898555210828308,0.0009546308361226425,-0.547538490189324,0.002563243039559088,28
Albania,GDP_Total,Total_GHG,GDP_Total + Total_GHG,0.3701482550006687,0.04407335681170765,0.5185761957730812,0.003325939129067828,30
Albania,GDP_Total,Total_GHG_exc,GDP_Total + Total_GHG_exc,0.5828775066621966,0.0007245670440763292,0.6897318988057994,2.4819768262962102e-05,30
Albania,Percent_Poverty,Total_GHG,Percent_Poverty + Total_GHG,-0.3848660605808856,0.043142592401245565,-0.29220395808093574,0.1313357128310432,28
Albania,Percent_Poverty,Total_GHG_exc,Percent_Poverty + Total_GHG_exc,-0.292779437050123,0.13054285903563265,-0.33021915300675414,0.08612364845211636,28
Albania,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.8324126447188496,1.1739227920681946e-08,0.847925247209323,3.334350095307813e-09,30
Algeria,GDP_Total,Percent_Poverty,GDP_Total + Percent_Poverty,-0.9979689355638243,1.446714386576061e-20,-0.9791426506068245,1.6869760631843325e-12,18
Algeria,GDP_Total,Total_GHG,GDP_Total + Total_GHG,0.9421948441291524,7.98291448244388e-15,0.9773081201334817,2.0464572653623558e-20,30
Algeria,GDP_Total,Total_GHG_exc,GDP_Total + Total_GHG_exc,0.9482786533827265,1.7475611069674654e-15,0.9781979977753059,1.1752578371893178e-20,30
Algeria,Percent_Poverty,Total_GHG,Percent_Poverty + Total_GHG,-0.9605210117152415,2.6211274460937157e-10,-0.9770347008746246,3.6202524132003936e-12,18
Algeria,Percent_Poverty,Total_GHG_exc,Percent_Poverty + Total_GHG_exc,-0.9644823143237351,1.1390772948450014e-10,-0.9770347008746246,3.6202524132003936e-12,18
Algeria,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.9996583628910998,7.209655692651077e-46,0.9995550611790878,2.9102880018528105e-44,30
Andorra,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.9999999999999999,1.0583940658398012e-220,1.0,0.0,30
Angola,GDP_Total,Percent_Poverty,GDP_Total + Percent_Poverty,0.816846533027032,1.9812073120218946e-06,0.5800923177063432,0.0037124925428408885,23
Angola,GDP_Total,Total_GHG,GDP_Total + Total_GHG,0.8926905297432657,3.374511583018819e-11,0.9528364849833146,4.941027072964042e-16,30
Angola,GDP_Total,Total_GHG_exc,GDP_Total + Total_GHG_exc,0.9297593098543585,1.1302054915764675e-13,0.9532814238042269,4.338927174143656e-16,30
Angola,Percent_Poverty,Total_GHG,Percent_Poverty + Total_GHG,0.5544672114360556,0.006039265235094543,0.5279436076385641,0.009617135176553531,23
Angola,Percent_Poverty,Total_GHG_exc,Percent_Poverty + Total_GHG_exc,0.6894749948550951,0.0002732853497408973,0.5473131285208821,0.006871922991294608,23
Angola,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.9736989710348106,1.5805978374676837e-19,0.9937708565072303,3.1222394788938325e-28,30
Antigua and Barbuda,GDP_Total,Total_GHG,GDP_Total + Total_GHG,0.8422750175083912,5.356082702249677e-09,0.9016466622867645,1.0544829409523961e-11,30
Antigua and Barbuda,GDP_Total,Total_GHG_exc,GDP_Total + Total_GHG_exc,0.8422750175083912,5.356082702249677e-09,0.9016466622867645,1.0544829409523961e-11,30
Antigua and Barbuda,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.9999999999999998,1.7340728374719287e-216,1.0,0.0,30
Argentina,GDP_Total,Percent_Poverty,GDP_Total + Percent_Poverty,-0.49227665839780443,0.005721006904767355,-0.5794457869973364,0.0007922599874713216,30
Argentina,GDP_Total,Total_GHG,GDP_Total + Total_GHG,0.7530735499079243,1.571569755039661e-06,0.7632925472747497,9.320766175621384e-07,30
Argentina,GDP_Total,Total_GHG_exc,GDP_Total + Total_GHG_exc,0.9596499416449218,5.800345750317737e-17,0.9879866518353726,2.9680077148912373e-24,30
Argentina,Percent_Poverty,Total_GHG,Percent_Poverty + Total_GHG,-0.19013227771028576,0.31423997574442114,-0.3438371618462288,0.06282455847143996,30
Argentina,Percent_Poverty,Total_GHG_exc,Percent_Poverty + Total_GHG_exc,-0.4336507384461273,0.016662707447451703,-0.5600715427741356,0.0012885098358939439,30
Argentina,Total_GHG,Total_GHG_exc,Total_GHG + Total_GHG_exc,0.8890818724359117,5.239948788295661e-11,0.7899888765294771,2.0884002542244172e-07,30
